2025-07-08 15:49:12 INFO:Scan avviata su 127.0.0.1 da porta 20 a 1024, UDP: True
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 108: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 109: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 110: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 111: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 112: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 113: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 114: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 115: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 116: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 117: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 118: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 120: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 119: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 121: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 122: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 125: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,772 - ERROR - Error scanning UDP port 124: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 163: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 164: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 166: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 165: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 167: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 168: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 169: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 170: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 171: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 172: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 174: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 173: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 175: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 176: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 177: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 178: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 179: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
